행정동명,위도,경도,총인구,20대인구,30대인구,유동인구,카페수,음식점수,편의점수,주차장수,평균거래가
용당1동,34.8055,126.3918,9300,1150,1040,12800,18,72,8,4,28200
연동,34.8007,126.3892,7200,820,760,10400,11,55,6,3,24100
산정동,34.8079,126.3748,8100,760,810,9600,9,48,5,4,22600
대성동,34.7978,126.3815,5200,540,490,8900,8,44,4,3,21300
목원동,34.7913,126.3824,6100,690,570,16800,24,96,9,6,35100
동명동,34.7863,126.3909,5500,610,520,14200,16,88,7,5,30700
삼학동,34.7858,126.3973,6300,620,580,11200,10,66,6,5,26900
하당동,34.8042,126.4168,12800,1840,1690,22100,35,132,12,8,42100
신흥동,34.8106,126.4247,14600,2050,1980,24800,39,146,14,9,44600
부흥동,34.8138,126.4352,11900,1390,1510,17900,21,101,10,7,38200
부주동,34.8168,126.4480,15800,2180,2360,20600,27,118,11,10,40500
옥암동,34.8100,126.4403,13600,1770,1950,19200,25,109,10,8,39400

